city,date,year,month,day,high_temp,avg_temp,low_temp,high_dewpt,avg_dewpt,low_dewpt,high_humidity,avg_humidity,low_humidity,high_hg,avg_hg,low_hg,high_vis,avg_vis,low_vis,high_wind,avg_wind,max_wind_gust,precip,events,Rain,Fog,Thunderstorm,Snow,Hail
Auckland,2016-01-01,2016,1,1,20.0,18.33,16.67,17.78,15.56,12.78,100,82,68,1020.99,1018.96,1016.25,15.24,15.24,10.16,33.8,24.14,45.06,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-02,2016,1,2,20.0,18.89,17.78,17.78,17.22,16.11,100,94,88,1017.27,1012.53,1009.14,15.24,12.7,2.54,53.11,33.8,74.03,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-03,2016,1,3,25.0,22.22,18.89,21.11,19.44,17.78,100,91,74,1009.14,1006.77,1005.08,15.24,15.24,2.54,28.97,19.31,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-04,2016,1,4,22.78,18.89,15.56,18.89,15.56,12.22,100,76,53,1019.98,1012.53,1008.13,15.24,15.24,15.24,24.14,16.09,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-05,2016,1,5,20.56,16.67,12.78,12.78,11.11,8.89,82,69,56,1023.03,1020.65,1018.96,15.24,15.24,15.24,20.92,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-06,2016,1,6,20.56,17.22,13.89,12.22,10.56,7.78,88,65,46,1024.04,1023.36,1022.01,15.24,15.24,15.24,27.36,12.87,45.06,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-07,2016,1,7,21.67,18.89,15.56,15.0,12.22,10.0,83,65,53,1024.04,1020.32,1017.27,15.24,15.24,15.24,35.41,19.31,40.23,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-08,2016,1,8,25.0,21.11,17.78,22.22,19.44,15.0,100,92,83,1016.25,1008.8,1003.05,15.24,15.24,5.08,33.8,22.53,45.06,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-09,2016,1,9,20.56,18.89,17.78,20.0,16.11,12.78,100,81,64,1011.17,1007.79,1004.06,15.24,15.24,10.16,28.97,17.7,46.67,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-10,2016,1,10,21.67,18.89,16.67,17.22,14.44,12.78,88,76,64,1014.22,1011.17,1010.16,15.24,15.24,15.24,32.19,24.14,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-11,2016,1,11,23.89,19.44,15.0,16.11,14.44,12.22,94,72,53,1018.96,1016.93,1014.22,15.24,15.24,15.24,27.36,16.09,41.84,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-12,2016,1,12,20.56,18.89,16.67,18.89,16.67,15.0,100,87,78,1018.96,1016.25,1014.22,15.24,15.24,7.62,25.75,12.87,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-13,2016,1,13,21.67,18.89,16.67,16.11,13.89,12.22,83,73,64,1017.95,1015.91,1014.22,15.24,15.24,15.24,28.97,20.92,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-14,2016,1,14,23.89,20.0,16.67,17.22,16.11,15.0,94,80,65,1023.03,1020.32,1017.27,15.24,15.24,15.24,27.36,14.48,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-15,2016,1,15,23.89,20.0,16.67,17.22,15.56,13.89,94,76,57,1023.03,1019.98,1017.27,15.24,15.24,15.24,24.14,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-16,2016,1,16,25.56,20.0,15.0,18.89,16.11,10.0,100,76,41,1018.96,1017.27,1015.24,15.24,15.24,15.24,19.31,6.44,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-17,2016,1,17,25.56,22.22,18.89,20.0,18.33,17.22,94,80,61,1017.27,1014.22,1013.2,15.24,15.24,15.24,33.8,17.7,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-18,2016,1,18,25.0,22.22,20.0,22.22,20.0,17.78,100,89,69,1013.2,1011.17,1009.14,15.24,15.24,5.08,46.67,28.97,65.98,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-19,2016,1,19,23.89,20.0,16.67,21.11,16.67,15.0,100,78,61,1016.25,1012.87,1010.16,15.24,15.24,15.24,32.19,17.7,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-20,2016,1,20,23.89,20.0,16.67,17.22,16.67,16.11,94,78,65,1018.96,1016.93,1015.24,15.24,15.24,15.24,19.31,8.05,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-21,2016,1,21,25.56,21.67,17.78,17.78,16.67,16.11,94,77,57,1020.99,1019.3,1018.96,15.24,15.24,15.24,24.14,9.66,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-22,2016,1,22,25.0,21.11,16.67,17.22,16.11,13.89,88,75,53,1020.99,1019.64,1017.95,15.24,15.24,15.24,24.14,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-23,2016,1,23,25.56,20.0,15.0,17.78,16.67,15.0,100,76,51,1019.98,1017.61,1015.24,15.24,15.24,15.24,24.14,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-24,2016,1,24,27.78,21.67,15.56,18.89,16.67,8.89,100,73,32,1017.27,1016.25,1015.24,15.24,15.24,15.24,20.92,8.05,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-25,2016,1,25,27.78,22.78,17.78,18.89,17.78,13.89,100,73,47,1017.27,1016.25,1014.22,15.24,15.24,15.24,19.31,9.66,35.41,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-26,2016,1,26,26.67,22.22,17.78,21.11,18.89,17.22,100,80,57,1017.27,1015.24,1013.2,15.24,15.24,15.24,14.48,6.44,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-27,2016,1,27,25.0,22.78,20.56,22.22,21.11,20.0,100,91,78,1014.22,1011.17,1008.13,15.24,12.7,0.0,14.48,6.44,0.0,0.001,"Fog , Rain , Thunderstorm",1.0,1.0,1.0,0.0,0.0
Auckland,2016-01-28,2016,1,28,25.56,22.78,20.0,21.11,19.44,17.78,100,85,65,1009.14,1007.45,1007.11,15.24,15.24,5.08,27.36,8.05,0.0,0.001,"Fog , Rain",1.0,1.0,0.0,0.0,0.0
Auckland,2016-01-29,2016,1,29,25.0,22.22,20.0,20.0,18.89,17.22,100,84,65,1017.27,1012.87,1009.14,15.24,15.24,12.7,24.14,11.27,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-01-30,2016,1,30,25.56,22.22,18.89,18.89,18.33,17.22,94,78,61,1017.95,1016.59,1015.24,15.24,15.24,15.24,22.53,9.66,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-01-31,2016,1,31,26.67,22.78,18.89,21.11,18.89,17.78,94,81,65,1018.96,1017.27,1016.25,15.24,15.24,15.24,27.36,11.27,0.0,0.001,"Rain , Thunderstorm",1.0,0.0,1.0,0.0,0.0
Auckland,2016-02-01,2016,2,1,25.56,22.78,20.0,18.89,17.78,17.22,94,78,61,1019.98,1019.3,1017.95,15.24,15.24,15.24,24.14,14.48,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-02,2016,2,2,25.56,22.22,18.89,20.0,17.78,17.22,88,77,65,1019.98,1018.62,1017.27,15.24,15.24,15.24,24.14,8.05,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-03,2016,2,3,25.56,22.22,18.89,20.0,17.78,15.0,100,77,57,1018.96,1018.28,1017.27,15.24,15.24,15.24,28.97,12.87,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-04,2016,2,4,25.0,21.11,17.78,16.11,14.44,12.78,78,65,50,1018.96,1015.91,1013.2,15.24,15.24,15.24,27.36,17.7,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-05,2016,2,5,23.89,21.11,18.89,20.0,18.33,16.11,94,83,69,1012.19,1007.45,1005.08,15.24,15.24,15.24,25.75,14.48,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-06,2016,2,6,25.56,22.22,18.89,21.11,20.0,17.78,100,87,69,1009.14,1005.08,1003.05,15.24,15.24,5.08,27.36,16.09,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-07,2016,2,7,26.67,23.33,20.0,20.0,18.33,17.22,94,75,54,1014.22,1011.17,1009.14,15.24,15.24,15.24,35.41,16.09,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-08,2016,2,8,23.89,21.11,18.89,17.78,17.22,16.11,94,78,65,1014.22,1012.87,1011.17,15.24,15.24,15.24,20.92,9.66,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-09,2016,2,9,23.89,21.11,18.89,17.78,16.67,15.0,88,75,61,1012.19,1009.48,1008.13,15.24,15.24,15.24,20.92,9.66,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-10,2016,2,10,25.56,22.22,18.89,20.0,18.89,17.78,94,83,61,1014.22,1010.5,1008.13,15.24,15.24,15.24,22.53,9.66,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-11,2016,2,11,25.56,21.67,17.78,18.89,17.78,16.11,94,80,57,1017.27,1015.58,1014.22,15.24,15.24,15.24,14.48,8.05,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-12,2016,2,12,25.56,21.67,17.78,20.0,18.33,17.22,100,81,65,1018.96,1017.95,1017.27,15.24,15.24,15.24,25.75,8.05,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-13,2016,2,13,26.67,21.67,16.67,18.89,17.22,16.11,100,76,57,1019.98,1018.62,1017.27,15.24,15.24,15.24,22.53,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-14,2016,2,14,25.56,21.67,17.78,17.22,15.56,13.89,88,71,50,1019.98,1018.28,1017.27,15.24,15.24,15.24,27.36,14.48,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-15,2016,2,15,25.56,21.67,17.78,17.22,15.56,13.89,83,68,47,1018.96,1017.95,1017.27,15.24,15.24,15.24,33.8,16.09,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-16,2016,2,16,25.0,22.22,18.89,18.89,17.22,16.11,94,79,61,1017.95,1016.59,1014.22,15.24,15.24,7.62,28.97,17.7,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-17,2016,2,17,21.67,20.0,18.89,20.0,18.33,17.22,94,87,73,1014.22,1010.16,1007.11,15.24,15.24,7.62,41.84,24.14,61.16,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-18,2016,2,18,25.56,22.78,20.0,22.78,20.56,17.78,100,88,69,1011.17,1007.45,1005.08,15.24,15.24,7.62,41.84,30.58,64.37,0.001,"Rain , Hail",1.0,0.0,0.0,0.0,1.0
Auckland,2016-02-19,2016,2,19,25.0,21.11,17.78,20.0,17.78,13.89,100,81,61,1017.95,1013.2,1010.16,15.24,15.24,15.24,28.97,14.48,0.0,0.001,Rain,1.0,0.0,0.0,0.0,0.0
Auckland,2016-02-20,2016,2,20,23.89,19.44,15.0,17.22,15.0,13.89,94,74,57,1020.99,1019.3,1017.95,15.24,15.24,15.24,22.53,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-21,2016,2,21,23.89,21.11,18.89,18.89,16.67,15.0,83,75,65,1020.99,1020.32,1018.96,15.24,15.24,15.24,32.19,20.92,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-22,2016,2,22,25.56,20.56,15.56,17.78,16.67,15.0,100,77,57,1022.01,1020.99,1019.98,15.24,15.24,15.24,28.97,12.87,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-23,2016,2,23,25.0,21.11,16.67,17.78,16.11,13.89,94,74,50,1022.01,1020.99,1018.96,15.24,15.24,15.24,16.09,11.27,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
Auckland,2016-02-24,2016,2,24,25.0,20.0,15.56,17.78,16.67,15.0,94,79,61,1020.99,1020.32,1018.96,15.24,15.24,15.24,24.14,8.05,0.0,0.0,No event,0.0,0.0,0.0,0.0,0.0
